"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Georgii Merkulov"," 2.70289618","  4.1424036734",11,"BOS"
"Max Jones"," 2.68992886","  3.7866721898",10,"EDM"
"Travis Dermott"," 2.63022599","  3.3720510490",15,"MIN"
"Valtteri Puustinen"," 2.61712013","  3.5396413803",8,"PIT"
"Kevin Gravel"," 2.61119023","  2.1708430741",11,"NSH"
"Oliver Kylington"," 2.60903282","  3.1626911163",9,"COL"
"Kevin Korchinski"," 2.49777244","  3.1744653196",11,"CHI"
"David Jiricek"," 2.46235662","  3.3817396676",16,"MIN"
"Michael Callahan"," 2.45915459","  2.1773809001",10,"BOS"
"Owen Beck"," 2.42515440","  4.9590343758",14,"MTL"
"Andreas Athanasiou"," 2.37753406","  3.4591182843",12,"CHI"
"Alex Steeves"," 2.35478523","  2.8774293922",11,"TOR"
"Ian Mitchell"," 2.34793443","  3.0920294747",13,"BOS"
"Dennis Gilbert"," 2.34745038","  2.7526601315",13,"BUF"
"Samuel Honzek"," 2.31683742","  2.8958283747",8,"CGY"
"Seamus Casey"," 2.30800556","  3.3690862469",11,"NJD"
"Joakim Kemell"," 2.25405420","  3.1744952574",9,"NSH"
"Arshdeep Bains"," 2.19453238","  3.0471500154",12,"VAN"
"Patrick Brown"," 2.18095028","  2.2328287605",10,"BOS"
"Kyle Burroughs"," 2.09557311","  2.3119711825",9,"LAK"
"Conor Sheary"," 2.07657772","  2.5145030767",5,"TBL"
"Tristan Luneau"," 2.06790406","  2.8846373390",10,"ANA"
"Sam Poulin"," 2.04164743","  2.7649906129",7,"PIT"
"Tyler Johnson"," 2.04086427","  2.1333376653",10,"BOS"
"John Ludvig"," 2.03982052","  2.0275774300",10,"COL"
"Matej  Blumel"," 1.96635249","  3.3406921998",10,"DAL"
"Brendan Brisson"," 1.94915386","  3.9248284847",12,"VGK"
"Lucas Condotta"," 1.94806531","  3.1645613015",7,"MTL"
"Maxwell Crozier"," 1.92219330","  2.8585495800",13,"TBL"
"Matt Savoie"," 1.85130870","  3.0147671252",10,"EDM"
"Jimmy Schuldt"," 1.82834461","  2.0729572177",6,"SJS"
"Helge Grans"," 1.82515062","  1.9742511492",8,"PHI"
"Alex Kerfoot"," 1.81273954","  2.1728972174",11,"UTA"
"Matt Stienburg"," 1.76840057","  2.9429003894",6,"COL"
"Ben Hutton"," 1.73220114","  1.3852410307",10,"VGK"
"Joshua Brown"," 1.66668002","  1.9076323695",8,"EDM"
"Dominik Shine"," 1.64455395","  2.1142888585",7,"DET"
"Austin Watson"," 1.62665381","  1.7291515991",8,"DET"
"Caleb Jones"," 1.60568084","  1.7695443877",9,"LAK"
"Matt Benning"," 1.59629307","  1.3786815810",9,"SJS"
"Ben Meyers"," 1.58651388","  2.0370196700",5,"SEA"
"Ilya Solovyov"," 1.58570024","  1.5212476552",9,"CGY"
"Rory Kerins"," 1.58116218","  2.6844900995",8,"CGY"
"Ryan Johnson"," 1.56267561","  2.0204973072",9,"BUF"
"T.J. Tynan"," 1.54752379","  2.4475297996",7,"COL"
"Guillaume Brisebois"," 1.54629757","  1.9296838269",5,"VAN"
"Drake Caggiula"," 1.51500346","  2.2677849382",7,"EDM"
"Jeffrey Viel"," 1.49861252","  2.0970218750",5,"BOS"
"Nikita Prishchepov"," 1.47981856","  1.4948525759",7,"COL"
"Ozzy Wiesblatt"," 1.47330204","  1.4584849551",5,"NSH"
"Jett Luchanko"," 1.47047499","  2.1015497819",6,"PHI"
"William Lagesson"," 1.40742785","  1.1850464866",4,"DET"
"Corey Schueneman"," 1.39232150","  1.5436728299",6,"STL"
"Ryan Winterton"," 1.38625188","  2.2873815373",8,"SEA"
"Dylan McIlrath"," 1.35743725","  1.3755970448",6,"WSH"
"Cam Dineen"," 1.34200739","  0.9869526066",8,"EDM"
"Ethan Cardwell"," 1.32741558","  1.8262146721",8,"SJS"
"Dryden Hunt"," 1.32139547","  2.1075411886",5,"CGY"
"Alexander Petrovic"," 1.25801261","  1.3612543494",4,"DAL"
"Zach Aston-Reese"," 1.20697863","  1.4571764171",5,"CBJ"
"Fabian Lysell"," 1.19891783","  1.5366985332",8,"BOS"
"Calle Jarnkrok"," 1.18609813","  0.9452186508",7,"TOR"
