"X","Date","Period","Fighter1","Fighter1WinPct","Fighter1Team","Fighter2","Fighter2WinPct","Fighter2Team","playerId.x","position.x","team.x","Fighter1BirthDate","Fighter1Weight","Fighter1Height","nationality.x","shootsCatches.x","primaryNumber.x","primaryPosition.x","playerId.y","position.y","team.y","Fighter2BirthDate","Fighter2Weight","Fighter2Height","nationality.y","shootsCatches.y","primaryNumber.y","primaryPosition.y","Fighter1HeightInches","Fighter2HeightInches","HeightDiff","WeightDiff","Fighter1Age","Fighter2Age","AgeDiff","Win","Fighter1Handedness","Fighter2Handedness","HandednessDiff","Fighter1Position","Fighter2Position"
NA,2023-11-03,3,"Garnet Hathaway",0.91,"PHI","Dylan Cozens",0.09,"BUF",8477903,"R","PHI","1991-11-23",210,"6' 2""","USA","R",21,"R",8481528,"C","BUF","2001-02-09",188,"6' 3""","CAN","R",24,"C",74,75,-1,22,31.9010025062657,22.6979949874687,9.20300751879699,1,"R","R",0,"F","F"
NA,2023-11-04,1,"Austin Watson",0.8,"TBL","Zack MacEwen",0.04,"OTT",8475766,"L","DET","1992-01-13",204,"6' 4""","USA","R",51,"L",8479772,"R","OTT","1996-07-08",205,"6' 3""","CAN","R",71,"C",76,75,1,-1,31.7642971064024,27.2859421280474,4.47835497835498,1,"R","R",0,"F","F"
NA,2023-11-04,2,"Mason Marchment",0.74,"DAL","Ian Cole",0.15,"VAN",8478975,"L","DAL","1995-06-18",212,"6' 5""","CAN","L",27,"L",8474013,"D","UTA","1989-02-21",219,"6' 1""","USA","L",28,"D",77,73,4,-7,28.341307814992,34.6515151515152,-6.31020733652313,1,"L","L",0,"F","D"
NA,2023-11-07,2,"Tanner Jeannot",0.72,"TBL","Arber Xhekaj",0.12,"MTL",8479661,"L","LAK","1997-05-29",208,"6' 2""","CAN","L",84,"L",8482964,"D","MTL","2001-01-30",238,"6' 4""","CAN","L",72,"D",74,76,-2,-30,26.4055593529278,22.7362724994304,3.66928685349738,1,"L","L",0,"F","D"
NA,2023-11-07,1,"Nicolas Deslauriers",0.98,"PHI","Givani Smith",0.02,"SJS",8475235,"L","PHI","1991-02-22",221,"6' 1""","CAN","L",20,"L",8479379,"R","COL","1998-02-27",210,"6' 2""","CAN","L",48,"R",73,74,-1,11,32.6610845295056,25.6562998405104,7.00478468899522,1,"L","L",0,"F","F"
NA,2023-11-09,1,"Brandon Duhaime",0,"MIN","Barclay Goodrow",0.97,"NYR",8479520,"R","WSH","1997-05-22",200,"6' 2""","USA","L",21,"R",8476624,"C","SJS","1993-02-26",215,"6' 2""","CAN","L",23,"R",74,74,0,-15,26.4301663249032,30.6569833675097,-4.22681704260652,0,"L","L",0,"F","F"
NA,2023-11-09,1,"Jeremy Lauzon",0,"NSH","Adam Lowry",1,"WPG",8478468,"D","NSH","1997-04-28",204,"6' 1""","CAN","L",79,"D",8476392,"C","WPG","1993-03-29",210,"6' 5""","USA","L",17,"C",73,77,-4,-6,26.4957849168376,30.5722260195944,-4.07644110275689,0,"L","L",0,"D","F"
NA,2023-11-09,1,"Cole Smith",0,"NSH","Adam Lowry",1,"WPG",8482062,"R","NSH","1995-10-28",195,"6' 3""","USA","L",36,"L",8476392,"C","WPG","1993-03-29",210,"6' 5""","USA","L",17,"C",75,77,-2,-15,27.9940760993393,30.5722260195944,-2.57814992025519,0,"L","L",0,"F","F"
NA,23-11-11,1,"Ian Cole",0.14,"VAN","Max Domi",0.13,"TOR",8474013,"D","UTA","1989-02-21",219,"6' 1""","USA","L",28,"D",8477503,"C","TOR","1995-03-02",193,"5' 10""","CAN","L",13,"C",73,70,3,26,-1962.55422647528,-1968.56926406926,6.0150375939852,1,"L","L",0,"D","F"
NA,2023-11-11,1,"Michael Bunting",0.04,"CAR","Tanner Jeannot",0.81,"TBL",8478047,"L","PIT","1995-09-17",197,"5' 11""","CAN","L",58,"L",8479661,"L","LAK","1997-05-29",208,"6' 2""","CAN","L",84,"L",71,74,-3,-11,28.1116427432217,26.4164957849168,1.69514695830485,0,"L","L",0,"F","F"
NA,2023-11-11,1,"Dakota Joshua",0.07,"VAN","Mark Giordano",0.86,"TOR",8478057,"C","VAN","1996-05-15",199,"6' 2""","USA","L",54,"C",8470966,"D","TOR","1983-10-03",200,"6' 1""","CAN","L",5,"D",74,73,1,-1,27.4527227158806,40.0514923672818,-12.5987696514012,0,"L","L",0,"F","D"
NA,2023-11-11,3,"Dylan Holloway",0,"EDM","Vince Dunn",0.57,"SEA",8482077,"L","STL","2001-09-23",203,"6' 1""","CAN","L",36,"L",8478407,"D","SEA","1996-10-29",203,"6' 0""","CAN","L",29,"D",73,72,1,0,22.1020733652313,26.9960127591707,-4.89393939393939,0,"L","L",0,"F","D"
NA,2023-11-12,1,"Craig Smith",0.79,"DAL","Connor Dewar",0.04,"MIN",8475225,"C","CHI","1989-09-05",208,"6' 1""","USA","R",15,"R",8480980,"C","TOR","1999-06-26",183,"5' 10""","CAN","L",52,"C",73,70,3,25,34.1376167691957,24.3467760309866,9.79084073820916,1,"R","L",1,"F","F"
NA,2023-11-12,3,"Givani Smith",0.08,"SJS","Sam Carrick",0.81,"ANA",8479379,"R","COL","1998-02-27",210,"6' 2""","CAN","L",48,"R",8475842,"C","NYR","1992-02-04",204,"6' 0""","CAN","R",56,"C",74,72,2,6,25.6699703804967,31.7260195944406,-6.05604921394395,0,"L","R",1,"F","F"
NA,2023-11-12,2,"Luke Kunin",0.57,"SJS","Max Jones",0.09,"ANA",8479316,"C","SJS","1997-12-04",195,"6' 0""","USA","R",19,"C",8479368,"L","BOS","1998-02-17",220,"6' 3""","USA","L",49,"L",72,75,-3,-25,25.9023695602643,25.6973114604694,0.205058099794943,1,"R","L",1,"F","F"
NA,2023-11-13,1,"Kurtis MacDermid",0.98,"COL","Jamie Oleksiak",0.02,"SEA",8477073,"L","NJD","1994-03-25",233,"6' 5""","CAN","L",56,"D",8476467,"D","SEA","1992-12-21",255,"6' 7""","CAN","L",6,"D",77,79,-2,-22,29.5961494645705,30.8511050353156,-1.25495557074504,1,"L","L",0,"F","D"
NA,2023-11-14,1,"Keegan Kolesar",0.07,"VGK","Dylan McIlrath",0.91,"WSH",8478434,"R","VGK","1997-04-08",227,"6' 2""","CAN","R",55,"R",8475795,"D","WSH","1992-04-20",236,"6' 5""","CAN","R",4,"D",74,77,-3,-9,26.5641376167692,31.5238095238095,-4.95967190704033,0,"R","R",0,"F","D"
